epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16076,0.86579,5.61468,3.41919,1.364,0.53881,0.21429,0.18703,0.10966,0.18247,0.11905,0.08622,0.01425,0.51518,3.90912,4.93145,1.16067,0.00011817,0.00011817,0.00011817
2,18.9004,0.52519,2.12437,2.12255,1.08023,0.36039,0.7381,0.43035,0.30793,0.24714,0.59524,0.29408,0.26871,0.73508,0.33287,13.9427,1.7321,0.000244458,0.000244458,0.000244458
3,25.8762,0.51251,1.58852,1.86613,1.02683,0.66524,0.20238,0.22626,0.11446,0.0498,0.58333,0.1951,0.1262,1.43126,0.892,38.3492,2.7382,0.000369738,0.000369738,0.000369738
4,31.5486,0.59095,1.46319,1.84341,1.06696,0.29032,0.7619,0.28792,0.25186,0.25015,0.61905,0.22601,0.20398,0.55037,0.5832,19.1105,1.23927,0.000494011,0.000494011,0.000494011
5,37.4666,0.60518,1.42135,1.75046,1.07949,0.18683,0.7619,0.37858,0.22082,0.13053,0.61905,0.21241,0.16827,0.86059,3.72658,20.334,1.46681,0.000617275,0.000617275,0.000617275
6,43.0168,0.63983,1.41121,1.78967,1.09742,0.37506,0.76555,0.43528,0.2138,0.25714,0.55255,0.30194,0.15551,0.81306,2.057,16.1523,1.8134,0.000739531,0.000739531,0.000739531
7,49.136,0.66035,1.24841,1.82232,1.0955,0.34729,0.50183,0.3169,0.1349,0.27393,0.37825,0.21939,0.12155,1.08082,2.17549,14.4363,1.80825,0.00086078,0.00086078,0.00086078
8,54.7936,0.67522,1.60487,1.75252,1.10355,0.5128,0.5,0.3523,0.24818,0.39064,0.35714,0.21603,0.15259,0.81088,1.11798,10.4488,1.47931,0.000883803,0.000883803,0.000883803
9,60.6466,0.60983,1.34273,1.62156,1.06556,0.21287,0.58333,0.36411,0.26282,0.10257,0.44048,0.22594,0.16597,0.8713,1.69836,9.06814,1.4812,0.000880203,0.000880203,0.000880203
10,66.5578,0.60465,1.13645,1.56832,1.07952,0.24859,0.83333,0.4034,0.35289,0.1727,0.69048,0.26126,0.24315,0.54975,0.62391,4.07597,1.25172,0.000876603,0.000876603,0.000876603
11,72.69,0.57083,1.10073,1.52938,1.05448,0.40632,0.32233,0.33428,0.26439,0.07415,0.40099,0.19404,0.16188,0.82637,0.59002,6.83332,1.39435,0.000873004,0.000873004,0.000873004
12,78.6587,0.59409,1.25133,1.50722,1.07269,0.32193,0.59524,0.3991,0.25526,0.19326,0.43813,0.25696,0.21942,0.89932,0.89362,2.73379,1.45814,0.000869404,0.000869404,0.000869404
13,84.2234,0.60517,1.30412,1.58358,1.07418,0.25289,0.69048,0.44716,0.41008,0.19223,0.54762,0.30501,0.29189,0.3961,0.35218,2.15635,0.97857,0.000865804,0.000865804,0.000865804
14,90.6834,0.55591,1.03335,1.39878,1.05318,0.35568,0.64286,0.42912,0.39027,0.24747,0.50578,0.28698,0.26222,0.4817,0.4427,1.78048,1.05882,0.000862205,0.000862205,0.000862205
15,96.2683,0.53929,1.05158,1.39759,1.03667,0.65623,0.33799,0.39071,0.34634,0.20546,0.65456,0.24203,0.23181,0.43783,0.37386,1.85292,1.00734,0.000858605,0.000858605,0.000858605
16,102.332,0.49523,0.99857,1.38761,1.01206,0.247,0.7619,0.45006,0.36609,0.1885,0.61905,0.30792,0.29765,0.55882,1.27466,2.52943,1.09692,0.000855005,0.000855005,0.000855005
17,107.982,0.54614,1.04226,1.40336,1.07088,0.1482,0.7619,0.4158,0.3469,0.1173,0.61905,0.29364,0.27097,0.72856,0.37483,2.30545,1.44942,0.000851406,0.000851406,0.000851406
18,114.133,0.5574,1.08874,1.33355,1.04165,0.17333,0.78571,0.3224,0.23437,0.14443,0.71429,0.24404,0.21282,0.88722,0.85956,2.14865,1.57734,0.000847806,0.000847806,0.000847806
19,119.801,0.54931,1.08323,1.36745,1.03854,0.20025,0.82532,0.407,0.32495,0.15196,0.68246,0.29039,0.26041,0.47829,0.84359,2.24966,1.01517,0.000844206,0.000844206,0.000844206
20,125.866,0.56004,1.1712,1.35692,1.05108,0.20432,0.85714,0.41673,0.37106,0.15342,0.71429,0.28046,0.26754,0.53693,0.25989,2.35,1.15587,0.000840607,0.000840607,0.000840607
21,131.655,0.50074,0.87235,1.30359,1.01857,0.38491,0.44048,0.41482,0.39551,0.33405,0.33333,0.29563,0.27603,0.42151,0.1872,1.69147,0.98282,0.000837007,0.000837007,0.000837007
